Meses,Transect,Subtransec,Cuadrante,NDWI (Agua),NDMI (Humedad),NDVI (Vegetación),LST (Temperatura)
Agosto,1,1,1,-0.39255,0.22957,0.75708,18.97287
Agosto,1,1,1,-0.40693,0.24951,0.82744,19.39609
Agosto,1,1,1,-0.3441,0.18872,0.77869,19.80276
Agosto,1,1,1,-0.39348,0.23442,0.78926,19.06064
Agosto,1,1,1,-0.37314,0.23483,0.82587,19.39359
Agosto,1,1,1,-0.34205,0.20282,0.8122,19.65573
Agosto,1,1,1,-0.39242,0.23305,0.82244,19.21848
Agosto,1,1,1,-0.38131,0.23329,0.826,19.40359
Agosto,1,1,1,-0.37376,0.20878,0.81799,19.51352
Agosto,1,1,2,-0.19666,0.11028,0.3174,16.59653
Agosto,1,1,2,-0.18511,0.1002,0.28357,17.08002
Agosto,1,1,2,-0.23412,0.11372,0.37446,17.57407
Agosto,1,1,2,-0.21954,0.12016,0.36885,16.7272
Agosto,1,1,2,-0.21978,0.11498,0.3609,17.14633
Agosto,1,1,2,-0.26981,0.1399,0.46562,17.6452
Agosto,1,1,2,-0.28608,0.14542,0.49677,17.34262
Agosto,1,1,2,-0.30601,0.16177,0.55545,17.60965
Agosto,1,1,2,-0.35212,0.19035,0.6684,17.96973
Agosto,1,2,3,-0.33409,0.18086,0.58333,18.78452
Agosto,1,2,3,-0.30608,0.1579,0.51903,18.67136
Agosto,1,2,3,-0.31954,0.16446,0.52311,18.37411
Agosto,1,2,3,-0.31073,0.15807,0.54211,18.422
Agosto,1,2,3,-0.30255,0.16089,0.54296,18.32614
Agosto,1,2,3,-0.25796,0.12847,0.42201,17.8887
Agosto,1,2,3,-0.32913,0.17336,0.62076,18.08615
Agosto,1,2,3,-0.27977,0.14241,0.48115,17.99756
Agosto,1,2,3,-0.22333,0.10757,0.35753,17.42914
Agosto,1,2,4,-0.2234,0.14048,0.5288,18.10132
Agosto,1,2,4,-0.23272,0.12717,0.48351,18.16956
Agosto,1,2,4,-0.24123,0.11769,0.42443,18.31607
Agosto,1,2,4,-0.20967,0.1113,0.51086,18.09375
Agosto,1,2,4,-0.21863,0.10191,0.45034,18.06085
Agosto,1,2,4,-0.22746,0.10422,0.42267,18.05325
Agosto,1,2,4,-0.15958,0.12408,0.62062,18.16455
Agosto,1,2,4,-0.20113,0.10639,0.54378,18.09119
Agosto,1,2,4,-0.25996,0.14797,0.56372,18.02542
Agosto,1,3,5,-0.29697,0.24473,0.81474,18.93521
Agosto,1,3,5,-0.19773,0.19187,0.75528,18.66382
Agosto,1,3,5,-0.15801,0.15882,0.68986,18.422
Agosto,1,3,5,-0.36173,0.27742,0.79008,19.12329
Agosto,1,3,5,-0.20244,0.19412,0.72502,18.8172
Agosto,1,3,5,-0.1177,0.14197,0.64133,18.55811
Agosto,1,3,5,-0.34793,0.23262,0.72722,19.33856
Agosto,1,3,5,-0.27463,0.21628,0.78586,19.02054
Agosto,1,3,5,-0.22674,0.1991,0.78595,18.71918
Agosto,1,3,6,-0.24728,0.16688,0.66667,20.41623
Agosto,1,3,6,-0.29084,0.20346,0.72419,20.13852
Agosto,1,3,6,-0.30298,0.21799,0.75522,19.80774
Agosto,1,3,6,-0.34662,0.17039,0.6605,20.59692
Agosto,1,3,6,-0.34313,0.21993,0.7004,20.35431
Agosto,1,3,6,-0.32023,0.19692,0.70304,20.02921
Agosto,1,3,6,-0.42504,0.26837,0.81887,20.46332
Agosto,1,3,6,-0.38352,0.26403,0.82894,20.29483
Agosto,1,3,6,-0.34126,0.23988,0.78515,20.0267
Agosto,1,4,7,-0.44071,0.27063,0.84125,20.37912
Agosto,1,4,7,-0.43673,0.28198,0.84881,20.43854
Agosto,1,4,7,-0.45121,0.2813,0.84454,20.5029
Agosto,1,4,7,-0.3736,0.22563,0.73277,20.39893
Agosto,1,4,7,-0.37486,0.23196,0.74663,20.5524
Agosto,1,4,7,-0.41535,0.25037,0.7687,20.69336
Agosto,1,4,7,-0.36776,0.21748,0.73404,20.10126
Agosto,1,4,7,-0.3863,0.22864,0.77691,20.4014
Agosto,1,4,7,-0.41089,0.21598,0.78775,20.65872
Agosto,1,4,8,-0.47194,0.28024,0.85116,20.62662
Agosto,1,4,8,-0.46572,0.2932,0.85827,20.59692
Agosto,1,4,8,-0.44688,0.27034,0.8396,20.54254
Agosto,1,4,8,-0.43168,0.25452,0.80349,20.51529
Agosto,1,4,8,-0.4447,0.26546,0.8128,20.51529
Agosto,1,4,8,-0.37191,0.20971,0.7442,20.47815
Agosto,1,4,8,-0.42588,0.26117,0.78091,20.17575
Agosto,1,4,8,-0.39342,0.24583,0.77691,20.16086
Agosto,1,4,8,-0.36011,0.2114,0.78065,20.05405
Agosto,2,5,9,-0.36258,0.20862,0.74008,18.2605
Agosto,2,5,9,-0.37119,0.22791,0.78282,17.99252
Agosto,2,5,9,-0.31671,0.18389,0.72464,17.80502
Agosto,2,5,9,-0.38917,0.23055,0.77897,18.01782
Agosto,2,5,9,-0.36757,0.23807,0.79243,17.81772
Agosto,2,5,9,-0.33042,0.19688,0.71986,17.68073
Agosto,2,5,9,-0.34245,0.21635,0.69997,17.76447
Agosto,2,5,9,-0.37044,0.22621,0.77856,17.61981
Agosto,2,5,9,-0.32582,0.21164,0.74528,17.53342
Agosto,2,5,10,-0.29976,0.16933,0.56032,17.29166
Agosto,2,5,10,-0.31834,0.19745,0.62486,17.19736
Agosto,2,5,10,-0.28907,0.18659,0.60142,17.19479
Agosto,2,5,10,-0.27963,0.15438,0.52989,17.10297
Agosto,2,5,10,-0.27892,0.15905,0.4971,16.98041
Agosto,2,5,10,-0.28124,0.16177,0.51803,16.93698
Agosto,2,5,10,-0.26995,0.15421,0.50644,17.1438
Agosto,2,5,10,-0.26087,0.14583,0.46564,16.95996
Agosto,2,5,10,-0.25691,0.14267,0.45258,16.86795
Agosto,2,6,11,-0.41405,0.25581,0.80213,18.02795
Agosto,2,6,11,-0.33654,0.1999,0.67257,17.82025
Agosto,2,6,11,-0.33996,0.19365,0.6943,17.60709
Agosto,2,6,11,-0.41302,0.26057,0.83211,18.45731
Agosto,2,6,11,-0.37124,0.23282,0.78829,18.26306
Agosto,2,6,11,-0.37714,0.23577,0.7977,18.07855
Agosto,2,6,11,-0.39106,0.25219,0.82898,18.64621
Agosto,2,6,11,-0.36657,0.23105,0.81528,18.50772
Agosto,2,6,11,-0.38478,0.23969,0.81718,18.34381
Agosto,2,6,12,-0.38429,0.23378,0.84222,19.03058
Agosto,2,6,12,-0.35855,0.22894,0.83798,18.90762
Agosto,2,6,12,-0.35091,0.22686,0.82944,18.83981
Agosto,2,6,12,-0.39459,0.25374,0.84932,18.94025
Agosto,2,6,12,-0.38725,0.22916,0.83276,18.79959
Agosto,2,6,12,-0.35596,0.24167,0.82952,18.78705
Agosto,2,6,12,-0.40994,0.27071,0.83448,18.8172
Agosto,2,6,12,-0.36098,0.23747,0.80768,18.63864
Agosto,2,6,12,-0.36734,0.24797,0.83628,18.62103
Agosto,2,7,13,-0.4326,0.28317,0.87208,19.26602
Agosto,2,7,13,-0.40544,0.26918,0.86089,18.99796
Agosto,2,7,13,-0.38732,0.27091,0.83838,18.66882
Agosto,2,7,13,-0.48096,0.29466,0.87932,19.1684
Agosto,2,7,13,-0.44644,0.30098,0.87874,18.88751
Agosto,2,7,13,-0.36027,0.25053,0.84388,18.59082
Agosto,2,7,13,-0.47061,0.29082,0.86904,19.05563
Agosto,2,7,13,-0.41766,0.28232,0.86308,18.79205
Agosto,2,7,13,-0.34304,0.22768,0.8352,18.56818
Agosto,2,7,14,-0.36892,0.24326,0.84253,19.00296
Agosto,2,7,14,-0.37223,0.25174,0.84311,19.00046
Agosto,2,7,14,-0.31544,0.20453,0.80961,18.89758
Agosto,2,7,14,-0.37645,0.24284,0.84576,18.93018
Agosto,2,7,14,-0.34635,0.247,0.83614,18.92014
Agosto,2,7,14,-0.29368,0.19824,0.8044,18.83981
Agosto,2,7,14,-0.38141,0.22907,0.82943,18.87494
Agosto,2,7,14,-0.33064,0.2226,0.81881,18.85489
Agosto,2,7,14,-0.30995,0.19254,0.80497,18.79459
Agosto,2,8,15,-0.32611,0.21461,0.75119,18.80966
Agosto,2,8,15,-0.28655,0.20035,0.76668,18.82474
Agosto,2,8,15,-0.34706,0.22377,0.81374,18.82474
Agosto,2,8,15,-0.2828,0.18377,0.67968,18.78705
Agosto,2,8,15,-0.31756,0.22441,0.79273,18.80463
Agosto,2,8,15,-0.34316,0.23182,0.8201,18.79709
Agosto,2,8,15,-0.3328,0.21061,0.74911,18.76691
Agosto,2,8,15,-0.3082,0.20577,0.74162,18.77448
Agosto,2,8,15,-0.31377,0.21078,0.78888,18.74429
Agosto,2,8,16,-0.31157,0.19706,0.72392,18.73175
Agosto,2,8,16,-0.26343,0.18624,0.71618,18.67389
Agosto,2,8,16,-0.21429,0.18344,0.77837,18.5455
Agosto,2,8,16,-0.36256,0.23319,0.79855,18.67892
Agosto,2,8,16,-0.26827,0.19753,0.77247,18.58829
Agosto,2,8,16,-0.25017,0.18692,0.80266,18.44974
Agosto,2,8,16,-0.38068,0.25687,0.84512,18.60089
Agosto,2,8,16,-0.30876,0.20564,0.82463,18.48758
Agosto,2,8,16,-0.29941,0.19092,0.81692,18.35391
Agosto,3,9,17,-0.33188,0.21072,0.83096,18.51276
Agosto,3,9,17,-0.35089,0.22356,0.83242,18.57321
Agosto,3,9,17,-0.29125,0.20153,0.81997,18.70407
Agosto,3,9,17,-0.33365,0.21004,0.81803,18.422
Agosto,3,9,17,-0.30512,0.21575,0.78565,18.45227
Agosto,3,9,17,-0.27119,0.1882,0.81126,18.543
Agosto,3,9,17,-0.33382,0.20917,0.80583,18.39175
Agosto,3,9,17,-0.28022,0.21067,0.76258,18.37411
Agosto,3,9,17,-0.27809,0.18613,0.80518,18.43967
Agosto,3,9,18,-0.3691,0.24873,0.84559,18.38672
Agosto,3,9,18,-0.29911,0.21076,0.81997,18.32111
Agosto,3,9,18,-0.2994,0.18448,0.81003,18.36905
Agosto,3,9,18,-0.38864,0.25004,0.85516,18.33878
Agosto,3,9,18,-0.31949,0.20685,0.82751,18.30847
Agosto,3,9,18,-0.34252,0.2055,0.83838,18.33878
Agosto,3,9,18,-0.35667,0.25011,0.83767,18.31857
Agosto,3,9,18,-0.30534,0.19507,0.81758,18.28577
Agosto,3,9,18,-0.36968,0.23129,0.84541,18.29587
Agosto,3,10,19,-0.36444,0.22589,0.80309,18.25549
Agosto,3,10,19,-0.37199,0.22637,0.79753,18.19232
Agosto,3,10,19,-0.29339,0.18632,0.81325,18.10638
Agosto,3,10,19,-0.37006,0.2471,0.8566,18.2782
Agosto,3,10,19,-0.40278,0.2756,0.85115,18.22012
Agosto,3,10,19,-0.28675,0.18732,0.81712,18.10889
Agosto,3,10,19,-0.35767,0.24348,0.84354,18.2757
Agosto,3,10,19,-0.37807,0.26239,0.85093,18.21759
Agosto,3,10,19,-0.32649,0.21333,0.83827,18.07349
Agosto,3,10,20,-0.38198,0.25439,0.85557,18.24789
Agosto,3,10,20,-0.36102,0.23643,0.84028,18.18472
Agosto,3,10,20,-0.34873,0.2288,0.84436,18.00769
Agosto,3,10,20,-0.36154,0.23956,0.84903,18.20999
Agosto,3,10,20,-0.35829,0.22538,0.82202,18.13672
Agosto,3,10,20,-0.33455,0.23691,0.83838,17.94949
Agosto,3,10,20,-0.37482,0.23735,0.84709,18.17715
Agosto,3,10,20,-0.35685,0.21788,0.83904,18.08362
Agosto,3,10,20,-0.33934,0.2285,0.82449,17.90643
Agosto,3,11,21,-0.36149,0.22992,0.847,18.20749
Agosto,3,11,21,-0.35324,0.21981,0.83193,18.08615
Agosto,3,11,21,-0.32557,0.21709,0.82971,17.97482
Agosto,3,11,21,-0.36315,0.24075,0.84185,18.19482
Agosto,3,11,21,-0.302,0.21518,0.81241,18.05072
Agosto,3,11,21,-0.30437,0.20215,0.81844,17.93683
Agosto,3,11,21,-0.39612,0.26241,0.86104,18.19232
Agosto,3,11,21,-0.29213,0.21758,0.82667,18.04568
Agosto,3,11,21,-0.31617,0.22145,0.82945,17.93683
Agosto,3,11,22,-0.35245,0.23721,0.80552,18.2403
Agosto,3,11,22,-0.32737,0.23913,0.81972,18.09119
Agosto,3,11,22,-0.30325,0.21843,0.83988,17.97736
Agosto,3,11,22,-0.36909,0.24599,0.82633,18.27063
Agosto,3,11,22,-0.32079,0.23287,0.81643,18.10132
Agosto,3,11,22,-0.2996,0.19757,0.83051,17.96722
Agosto,3,11,22,-0.34224,0.22856,0.82883,18.311
Agosto,3,11,22,-0.29487,0.20814,0.81643,18.10638
Agosto,3,11,22,-0.29803,0.19365,0.82143,17.93936
Agosto,3,12,23,-0.41781,0.24185,0.79935,19.27856
Agosto,3,12,23,-0.45184,0.2679,0.84155,18.94275
