"","CONTEO","SUBTRANSECTO","ALTITUD","TOTAL_CARROS","DIST_RIOS_MEAN","DIST_URBANIZACION_MEAN","DIST_AGRICOLA_MEAN","DIST_PENDIENTE_MEAN","NDVI_VEGETACION_MEAN","HI","SPD","TEMP_SUELO","DIST_ELECTRICOS_MEAN","NDMI_HUMEDAD_MEAN"
"CONTEO",1,-0.728559834437587,-0.771184847253467,-0.375100112779748,0.406577045320705,-0.790202160663629,-0.768502294288262,-0.259684693462902,0.349525105090219,0.666261738783608,0.133052755791665,0.536419392052156,-0.753479072699178,0.433463591866107
"SUBTRANSECTO",-0.728559834437587,1,0.835064935064935,0.253246753246753,-0.44025974025974,0.901298701298701,0.853473038022006,0.145454545454545,-0.416883116883117,-0.618181818181818,-0.0292778696937435,-0.516883116883117,0.753246753246753,-0.535064935064935
"ALTITUD",-0.771184847253467,0.835064935064935,1,0.0857142857142857,-0.511688311688312,0.967532467532468,0.960324122594401,0.0857142857142857,-0.374025974025974,-0.632467532467533,-0.297333032223128,-0.683116883116883,0.875324675324675,-0.503896103896104
"TOTAL_CARROS",-0.375100112779748,0.253246753246753,0.0857142857142857,1,-0.0181818181818182,0.123376623376623,0.143581144894156,0.24025974025974,-0.0324675324675325,-0.542857142857143,-0.156148638366632,-0.35974025974026,0.274025974025974,-0.264935064935065
"DIST_RIOS_MEAN",0.406577045320705,-0.44025974025974,-0.511688311688312,-0.0181818181818182,1,-0.541558441558442,-0.527577230076201,0.261038961038961,0.0363636363636364,0.203896103896104,0.188679604693014,0.487012987012987,-0.446753246753247,0.197402597402597
"DIST_URBANIZACION_MEAN",-0.790202160663629,0.901298701298701,0.967532467532468,0.123376623376623,-0.541558441558442,1,0.967002315380176,0.128571428571429,-0.366233766233766,-0.645454545454546,-0.23096986091731,-0.677922077922078,0.872727272727273,-0.518181818181818
"DIST_AGRICOLA_MEAN",-0.768502294288262,0.853473038022006,0.960324122594401,0.143581144894156,-0.527577230076201,0.967002315380176,1,-0.0140242048501269,-0.467473495004229,-0.692528591884836,-0.257278193024789,-0.728590832928019,0.899552568243851,-0.567646386790849
"DIST_PENDIENTE_MEAN",-0.259684693462902,0.145454545454545,0.0857142857142857,0.24025974025974,0.261038961038961,0.128571428571429,-0.0140242048501269,1,0.0207792207792208,-0.138961038961039,-0.0377359209386027,-0.012987012987013,0.112987012987013,-0.193506493506494
"NDVI_VEGETACION_MEAN",0.349525105090219,-0.416883116883117,-0.374025974025974,-0.0324675324675325,0.0363636363636364,-0.366233766233766,-0.467473495004229,0.0207792207792208,1,0.475324675324675,-0.135979439244275,0.371428571428571,-0.287012987012987,0.82987012987013
"HI",0.666261738783608,-0.618181818181818,-0.632467532467533,-0.542857142857143,0.203896103896104,-0.645454545454546,-0.692528591884836,-0.138961038961039,0.475324675324675,1,0.20624632650926,0.831168831168831,-0.731168831168831,0.566233766233766
"SPD",0.133052755791665,-0.0292778696937435,-0.297333032223128,-0.156148638366632,0.188679604693014,-0.23096986091731,-0.257278193024789,-0.0377359209386027,-0.135979439244275,0.20624632650926,1,0.525700415834327,-0.190631462672596,-0.0702668872649844
"TEMP_SUELO",0.536419392052156,-0.516883116883117,-0.683116883116883,-0.35974025974026,0.487012987012987,-0.677922077922078,-0.728590832928019,-0.012987012987013,0.371428571428571,0.831168831168831,0.525700415834327,1,-0.702597402597403,0.509090909090909
"DIST_ELECTRICOS_MEAN",-0.753479072699178,0.753246753246753,0.875324675324675,0.274025974025974,-0.446753246753247,0.872727272727273,0.899552568243851,0.112987012987013,-0.287012987012987,-0.731168831168831,-0.190631462672596,-0.702597402597403,1,-0.466233766233766
"NDMI_HUMEDAD_MEAN",0.433463591866107,-0.535064935064935,-0.503896103896104,-0.264935064935065,0.197402597402597,-0.518181818181818,-0.567646386790849,-0.193506493506494,0.82987012987013,0.566233766233766,-0.0702668872649844,0.509090909090909,-0.466233766233766,1
