"","r.CONTEO","r.SUBTRANSECTO","r.ALTITUD","r.TOTAL_CARROS","r.DIST_RIOS_MEAN","r.DIST_URBANIZACION_MEAN","r.DIST_AGRICOLA_MEAN","r.DIST_PENDIENTE_MEAN","r.NDVI_VEGETACION_MEAN","r.HI","r.SPD","r.TEMP_SUELO","r.DIST_ELECTRICOS_MEAN","r.NDMI_HUMEDAD_MEAN","n.CONTEO","n.SUBTRANSECTO","n.ALTITUD","n.TOTAL_CARROS","n.DIST_RIOS_MEAN","n.DIST_URBANIZACION_MEAN","n.DIST_AGRICOLA_MEAN","n.DIST_PENDIENTE_MEAN","n.NDVI_VEGETACION_MEAN","n.HI","n.SPD","n.TEMP_SUELO","n.DIST_ELECTRICOS_MEAN","n.NDMI_HUMEDAD_MEAN","P.CONTEO","P.SUBTRANSECTO","P.ALTITUD","P.TOTAL_CARROS","P.DIST_RIOS_MEAN","P.DIST_URBANIZACION_MEAN","P.DIST_AGRICOLA_MEAN","P.DIST_PENDIENTE_MEAN","P.NDVI_VEGETACION_MEAN","P.HI","P.SPD","P.TEMP_SUELO","P.DIST_ELECTRICOS_MEAN","P.NDMI_HUMEDAD_MEAN"
"CONTEO",1,-0.728559834437587,-0.771184847253467,-0.375100112779748,0.406577045320705,-0.790202160663629,-0.768502294288262,-0.259684693462902,0.349525105090219,0.666261738783608,0.133052755791665,0.536419392052156,-0.753479072699178,0.433463591866107,21,21,21,21,21,21,21,21,21,21,21,21,21,21,NA,0.000180091568774632,4.26698764210975e-05,0.093838005361536,0.0673964352244667,2.02801261937058e-05,4.71255103224877e-05,0.255624478384119,0.120398312882712,0.000975073391307202,0.565321568803911,0.0121798621718465,8.03195018370673e-05,0.0496443521406293
"SUBTRANSECTO",-0.728559834437587,1,0.835064935064935,0.253246753246753,-0.44025974025974,0.901298701298701,0.853473038022006,0.145454545454545,-0.416883116883117,-0.618181818181818,-0.0292778696937435,-0.516883116883117,0.753246753246753,-0.535064935064935,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.000180091568774632,NA,2.4871456891784e-06,0.268017914471094,0.0457880777293722,2.47949669684999e-08,8.71612964470359e-07,0.529282938980105,0.0601006844678733,0.00281948204468252,0.89974857836968,0.0164265280840292,8.09608562257758e-05,0.0124420022837914
"ALTITUD",-0.771184847253467,0.835064935064935,1,0.0857142857142857,-0.511688311688312,0.967532467532468,0.960324122594401,0.0857142857142857,-0.374025974025974,-0.632467532467533,-0.297333032223128,-0.683116883116883,0.875324675324675,-0.503896103896104,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4.26698764210975e-05,2.4871456891784e-06,NA,0.711813696129148,0.0177363972437252,8.33333402283642e-13,5.44275735592237e-12,0.711813696129148,0.0948580655545104,0.00209428591675653,0.190548695620151,0.00064229024063156,2.0545035361863e-07,0.0198573765141572
"TOTAL_CARROS",-0.375100112779748,0.253246753246753,0.0857142857142857,1,-0.0181818181818182,0.123376623376623,0.143581144894156,0.24025974025974,-0.0324675324675325,-0.542857142857143,-0.156148638366632,-0.35974025974026,0.274025974025974,-0.264935064935065,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.093838005361536,0.268017914471094,0.711813696129148,NA,0.937650103658404,0.594168258005535,0.534657214577165,0.294152399239724,0.888888658132397,0.010994545574059,0.499096809865805,0.109210764050401,0.229352352265781,0.245792618715408
"DIST_RIOS_MEAN",0.406577045320705,-0.44025974025974,-0.511688311688312,-0.0181818181818182,1,-0.541558441558442,-0.527577230076201,0.261038961038961,0.0363636363636364,0.203896103896104,0.188679604693014,0.487012987012987,-0.446753246753247,0.197402597402597,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.0673964352244667,0.0457880777293722,0.0177363972437252,0.937650103658404,NA,0.0112257596019727,0.0139751211697967,0.253064811966641,0.875649630138323,0.375337222902458,0.412735207365514,0.0251507582559181,0.0423239197284746,0.391054752943288
"DIST_URBANIZACION_MEAN",-0.790202160663629,0.901298701298701,0.967532467532468,0.123376623376623,-0.541558441558442,1,0.967002315380176,0.128571428571429,-0.366233766233766,-0.645454545454546,-0.23096986091731,-0.677922077922078,0.872727272727273,-0.518181818181818,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2.02801261937058e-05,2.47949669684999e-08,8.33333402283642e-13,0.594168258005535,0.0112257596019727,NA,9.69890834312537e-13,0.578604444863897,0.102503529826295,0.00157789758577542,0.31377571947856,0.000732531750076815,2.47285699028765e-07,0.0161115580312126
"DIST_AGRICOLA_MEAN",-0.768502294288262,0.853473038022006,0.960324122594401,0.143581144894156,-0.527577230076201,0.967002315380176,1,-0.0140242048501269,-0.467473495004229,-0.692528591884836,-0.257278193024789,-0.728590832928019,0.899552568243851,-0.567646386790849,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4.71255103224877e-05,8.71612964470359e-07,5.44275735592237e-12,0.534657214577165,0.0139751211697967,9.69890834312537e-13,NA,0.951889334541497,0.0326140063583691,0.000502779753454474,0.260213565651387,0.00017992044299131,2.90852164575028e-08,0.00727323151728498
"DIST_PENDIENTE_MEAN",-0.259684693462902,0.145454545454545,0.0857142857142857,0.24025974025974,0.261038961038961,0.128571428571429,-0.0140242048501269,1,0.0207792207792208,-0.138961038961039,-0.0377359209386027,-0.012987012987013,0.112987012987013,-0.193506493506494,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.255624478384119,0.529282938980105,0.711813696129148,0.294152399239724,0.253064811966641,0.578604444863897,0.951889334541497,NA,0.928763390962847,0.548018062488365,0.870994005606596,0.955443932313446,0.625809634783631,0.400658588380703
"NDVI_VEGETACION_MEAN",0.349525105090219,-0.416883116883117,-0.374025974025974,-0.0324675324675325,0.0363636363636364,-0.366233766233766,-0.467473495004229,0.0207792207792208,1,0.475324675324675,-0.135979439244275,0.371428571428571,-0.287012987012987,0.82987012987013,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.120398312882712,0.0601006844678733,0.0948580655545104,0.888888658132397,0.875649630138323,0.102503529826295,0.0326140063583691,0.928763390962847,NA,0.0294304212264114,0.556720132336652,0.0973583732594958,0.207141018177666,3.26825551777432e-06
"HI",0.666261738783608,-0.618181818181818,-0.632467532467533,-0.542857142857143,0.203896103896104,-0.645454545454546,-0.692528591884836,-0.138961038961039,0.475324675324675,1,0.20624632650926,0.831168831168831,-0.731168831168831,0.566233766233766,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0.000975073391307202,0.00281948204468252,0.00209428591675653,0.010994545574059,0.375337222902458,0.00157789758577542,0.000502779753454474,0.548018062488365,0.0294304212264114,NA,0.369738210331336,3.0551627703268e-06,0.000166169635703373,0.00745280383667435
