"","r.CONTEO","r.SUBTRANSECTO","r.ALTITUD","r.TOTAL_CARROS","r.DIST_RIOS_MEAN","r.DIST_URBANIZACION_MEAN","r.DIST_AGRICOLA_MEAN","r.DIST_PENDIENTE_MEAN","r.NDVI_VEGETACION_MEAN","r.HI","r.SPD","r.TEMP_SUELO","r.DIST_ELECTRICOS_MEAN","r.NDMI_HUMEDAD_MEAN","n.CONTEO","n.SUBTRANSECTO","n.ALTITUD","n.TOTAL_CARROS","n.DIST_RIOS_MEAN","n.DIST_URBANIZACION_MEAN","n.DIST_AGRICOLA_MEAN","n.DIST_PENDIENTE_MEAN","n.NDVI_VEGETACION_MEAN","n.HI","n.SPD","n.TEMP_SUELO","n.DIST_ELECTRICOS_MEAN","n.NDMI_HUMEDAD_MEAN","P.CONTEO","P.SUBTRANSECTO","P.ALTITUD","P.TOTAL_CARROS","P.DIST_RIOS_MEAN","P.DIST_URBANIZACION_MEAN","P.DIST_AGRICOLA_MEAN","P.DIST_PENDIENTE_MEAN","P.NDVI_VEGETACION_MEAN","P.HI","P.SPD","P.TEMP_SUELO","P.DIST_ELECTRICOS_MEAN","P.NDMI_HUMEDAD_MEAN"
"CONTEO",1,-0.472963196996382,-0.418481626724679,0.524286415368277,0.399531515325826,-0.34426035707917,-0.324676157128553,0.216347105136909,0.154759243090636,0.47217360902143,0.524483478042574,0.396917202465757,-0.209240813362339,0.205292873487578,20,20,20,20,20,20,20,20,20,20,20,20,20,20,NA,0.03519638457401,0.0663086587517165,0.0176424601979426,0.0809422478662483,0.137194899678065,0.1625091432043,0.35958755801101,0.514734545847789,0.0355454298269873,0.017592231268525,0.0831350563106934,0.375962846982745,0.38523880314285
"SUBTRANSECTO",-0.472963196996382,1,0.825563909774436,-0.421052631578947,-0.440601503759398,0.902255639097744,0.834294613660886,0.115789473684211,-0.347368421052632,-0.676691729323308,-0.39894643420084,-0.457314812333119,0.756390977443609,-0.481203007518797,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.03519638457401,NA,7.39882427103211e-06,0.0644880751289705,0.0518518369327072,5.39947748734448e-08,4.82113589761468e-06,0.626878993672825,0.133449229016247,0.00105094019837315,0.0814292299317896,0.0426305842774792,0.000113841951190796,0.0317110446244624
"ALTITUD",-0.418481626724679,0.825563909774436,1,-0.273684210526316,-0.44812030075188,0.798496240601504,0.797007703553137,-0.0857142857142857,-0.43609022556391,-0.66015037593985,-0.447873827074528,-0.562617565172981,0.765413533834586,-0.512781954887218,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.0663086587517165,7.39882427103211e-06,NA,0.242966369061306,0.0475317357506642,2.4383575150555e-05,2.59015382408911e-05,0.719366087919099,0.0545840996732221,0.00153704863211823,0.047668820988422,0.0098106273128773,8.40304541407377e-05,0.0207797266670458
"TOTAL_CARROS",0.524286415368277,-0.421052631578947,-0.273684210526316,1,0.0150375939849624,-0.231578947368421,-0.140602723531304,-0.0992481203007519,0.0135338345864662,0.189473684210526,0.0316146230876137,0.0699511143864803,-0.0360902255639098,-0.0210526315789474,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.0176424601979426,0.0644880751289705,0.242966369061306,NA,0.949827695048333,0.325898627038793,0.554348677642325,0.677188844321822,0.954839753357139,0.423665255926863,0.894736231994589,0.769486371583678,0.879931195520773,0.929799402445708
"DIST_RIOS_MEAN",0.399531515325826,-0.440601503759398,-0.44812030075188,0.0150375939849624,1,-0.55187969924812,-0.538329764680628,0.261654135338346,0.0210526315789474,0.254135338345865,0.510350344128622,0.307634470796456,-0.433082706766917,0.195488721804511,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.0809422478662483,0.0518518369327072,0.0475317357506642,0.949827695048333,NA,0.0116423733670858,0.0143389408090515,0.265124109510353,0.929799402445708,0.279597635515277,0.0214963881773387,0.187012684596966,0.0564656100422594,0.408819089520232
"DIST_URBANIZACION_MEAN",-0.34426035707917,0.902255639097744,0.798496240601504,-0.231578947368421,-0.55187969924812,1,0.960137935274539,0.114285714285714,-0.281203007518797,-0.678195488721804,-0.361309978144157,-0.531026739321023,0.891729323308271,-0.452631578947368,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.137194899678065,5.39947748734448e-08,2.4383575150555e-05,0.325898627038793,0.0116423733670858,NA,2.08801864687302e-11,0.631391730518438,0.229741032171045,0.00101406216991595,0.117535250640885,0.01598830065547,1.30295701339378e-07,0.0450756887830484
"DIST_AGRICOLA_MEAN",-0.324676157128553,0.834294613660886,0.797007703553137,-0.140602723531304,-0.538329764680628,0.960137935274539,1,-0.0396173419894834,-0.41015601118524,-0.608242721132657,-0.332461711645405,-0.503951182725386,0.918966972030566,-0.522016741508487,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.1625091432043,4.82113589761468e-06,2.59015382408911e-05,0.554348677642325,0.0143389408090515,2.08801864687302e-11,NA,0.868290423264578,0.0724700482932565,0.00443475920157788,0.152087530202886,0.0234765391265541,1.06321709214541e-08,0.0182292837923879
"DIST_PENDIENTE_MEAN",0.216347105136909,0.115789473684211,-0.0857142857142857,-0.0992481203007519,0.261654135338346,0.114285714285714,-0.0396173419894834,1,0.0571428571428571,-0.12781954887218,0.215280528644227,0.0744640895081887,0.120300751879699,-0.171428571428571,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.35958755801101,0.626878993672825,0.719366087919099,0.677188844321822,0.265124109510353,0.631391730518438,0.868290423264578,NA,0.810880046156832,0.591246239894665,0.362018807461707,0.755037214289555,0.613417664530782,0.469886172810875
"NDVI_VEGETACION_MEAN",0.154759243090636,-0.347368421052632,-0.43609022556391,0.0135338345864662,0.0210526315789474,-0.281203007518797,-0.41015601118524,0.0571428571428571,1,0.206015037593985,0.0828002033247027,0.0330951508925283,-0.264661654135338,0.81203007518797,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.514734545847789,0.133449229016247,0.0545840996732221,0.954839753357139,0.929799402445708,0.229741032171045,0.0724700482932565,0.810880046156832,NA,0.383532553092587,0.728555627004859,0.889834783036148,0.259469369928538,1.37516988074626e-05
"HI",0.47217360902143,-0.676691729323308,-0.66015037593985,0.189473684210526,0.254135338345865,-0.678195488721804,-0.608242721132657,-0.12781954887218,0.206015037593985,1,0.399699163321974,0.80857470930609,-0.595488721804511,0.243609022556391,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0.0355454298269873,0.00105094019837315,0.00153704863211823,0.423665255926863,0.279597635515277,0.00101406216991595,0.00443475920157788,0.591246239894665,0.383532553092587,NA,0.0808031078108766,1.59842670266475e-05,0.00560144103007421,0.300668194400444
