"","SUBTRANSECTO","CONTEO","ALTITUD","DEG","CHIL","RH_C","HI","DP","BULB","BARO","ALT","SPD","TC","TS","LHC","LONG_COLA","LONG_TOTAL","PESO","TEMP_ASF","TEMP_SUELO","CARROS_TUX","CARROS_OAX","TOTAL_CARROS","AÑO","SEMANA","DIA","DIAYEAR","TRANSECTO","RECORRIDO","VIVO","MUERTO","CAÑADA","ESCURRIMIENTOS","ALTITUD_MEAN","DIST_ELECTRICOS_MEAN","DIST_PENDIENTE_MEAN","DIST_RIOS_MEAN","DIST_AGRICOLA_MEAN","DIST_URBANIZACION_MEAN","NDWI_AGUA_MEAN","NDMI_HUMEDAD_MEAN","NDVI_VEGETACION_MEAN","LST_TEMPERATURA_MEAN"
"SUBTRANSECTO",1,-0.728559834437587,0.835064935064935,-0.522077922077922,-0.531990934196238,-0.0675324675324675,-0.618181818181818,-0.674244920263363,-0.584415584415584,-0.803507674726186,0.820779220779221,-0.0292778696937435,-0.153994299532181,-0.531990934196238,-0.333766233766234,NA,0.268960619573296,0.0561511566645962,-0.658441558441558,-0.516883116883117,0.0643065964413034,0.287106218455112,0.253246753246753,-0.0801068804751829,0.0919343006143346,-0.309055284038458,-0.0873825913007638,0.983632282681118,-0.133507574303661,-0.053579971977682,-0.0449466574975495,0.0166821202320326,-0.0449466574975495,0.845454545454545,0.753246753246753,0.145454545454545,-0.44025974025974,0.853473038022006,0.901298701298701,0.407792207792208,-0.535064935064935,-0.416883116883117,-0.807792207792208
"CONTEO",-0.728559834437587,1,-0.771184847253467,0.664950199927734,0.701901214904171,-0.0288538548292114,0.666261738783608,0.626791225084986,0.584946329719466,0.727484530213762,-0.724625217869967,0.133052755791665,0.36771663308767,0.449019982805519,-0.0255750076895282,NA,-0.41508015741834,-0.264992464061562,0.601340565417882,0.536419392052156,-0.0327991221917837,-0.293880134838382,-0.375100112779748,0.121348095752725,0.0274463071614391,0.397561179646955,0.300301049848664,-0.765350341307675,0.11674069873636,-0.243493225478567,0.340432136754301,0.0589645757387686,-0.0567386894590502,-0.805940626934108,-0.753479072699178,-0.259684693462902,0.406577045320705,-0.768502294288262,-0.790202160663629,-0.29116162600386,0.433463591866107,0.349525105090219,0.702984826748058
"ALTITUD",0.835064935064935,-0.771184847253467,1,-0.554545454545455,-0.520298825752364,-0.192207792207792,-0.632467532467533,-0.744397570926604,-0.624675324675325,-0.895095857536527,0.918181818181818,-0.297333032223128,-0.415208929112468,-0.651510264955832,-0.325974025974026,NA,0.303054219237517,0.175652336232839,-0.764935064935065,-0.683116883116883,-0.0604092269600123,0.161091271893366,0.0857142857142857,-0.14018704083157,0.186552814385292,-0.508340403767273,-0.084774155739547,0.826515179809906,-0.151742755184161,0.321479831866092,-0.337099931231621,-0.100092721392196,-0.112366643743874,0.923376623376623,0.875324675324675,0.0857142857142857,-0.511688311688312,0.960324122594401,0.967532467532468,0.363636363636364,-0.503896103896104,-0.374025974025974,-0.755844155844156
"DEG",-0.522077922077922,0.664950199927734,-0.554545454545455,1,0.97564149348321,-0.254545454545455,0.950649350649351,0.83663531531716,0.906493506493506,0.552127343182908,-0.545454545454545,0.243331628121335,0.35908016573158,0.755440117790262,0.114285714285714,NA,-0.121221687695007,0.0035994331195254,0.833766233766234,0.812987012987013,-0.308541750602214,-0.705423876113692,-0.649350649350649,0.320427521900732,0.0402631973493436,0.510300585272802,-0.0267364645024725,-0.514261441750732,0.349073462569571,-0.294689845877251,0.404519917477945,-0.150139082088294,-0.0898933149950989,-0.633766233766234,-0.671428571428571,-0.164935064935065,0.231168831168831,-0.611722459176962,-0.564935064935065,-0.477922077922078,0.549350649350649,0.446753246753247,0.664935064935065
"CHIL",-0.531990934196238,0.701901214904171,-0.520298825752364,0.97564149348321,1,-0.335823336971251,0.913933143362767,0.782326185834958,0.8554726011434,0.489928525016244,-0.477427761458162,0.24015651704589,0.382231471988454,0.716699155295646,0.0545631727380757,NA,-0.168628667909175,-0.0122420479427285,0.78531995048016,0.772978280456072,-0.366471734892788,-0.727420402858999,-0.69892826031154,0.30049838203521,0.102704504274105,0.450661391748582,0.0557734213152899,-0.528956638485033,0.357004469454574,-0.24118819447136,0.359690061432228,-0.133500313152469,-0.0449612576790284,-0.615784378043997,-0.619032185945073,-0.220201375692948,0.250730769963062,-0.557476216136833,-0.54108479631925,-0.394283879190618,0.497564170444833,0.390386509709327,0.630074732808731
"RH_C",-0.0675324675324675,-0.0288538548292114,-0.192207792207792,-0.254545454545455,-0.335823336971251,1,-0.0701298701298701,0.139655739746265,0.0376623376623377,0.316336489564796,-0.331168831168831,-0.051398926795683,-0.213001461035166,-0.0045469310615063,0.0428571428571429,NA,0.140162576397352,-0.072708549014413,0.025974025974026,-0.0350649350649351,0.227346553075315,0.272815863690378,0.380519480519481,0,-0.469066249119853,-0.0130678767035289,-0.269973080585942,-0.0435702890315126,-0.132205061383625,0.107159943955364,-0.202259958738973,0.333642404640653,-0.0898933149950989,-0.250649350649351,-0.225974025974026,0.336363636363636,-0.0688311688311688,-0.264456434316678,-0.172727272727273,-0.181818181818182,0.0558441558441558,0.135064935064935,0.166233766233766
"HI",-0.618181818181818,0.666261738783608,-0.632467532467533,0.950649350649351,0.913933143362767,-0.0701298701298701,1,0.921078320745134,0.968831168831169,0.652159826536047,-0.642857142857143,0.20624632650926,0.292877008923353,0.805456359466831,0.207792207792208,NA,-0.140162576397352,0.0331147846996337,0.888311688311688,0.831168831168831,-0.219551814112733,-0.66255281181949,-0.542857142857143,0.380507682257119,-0.0523421565541467,0.508993797602449,-0.0423870778697735,-0.591499681397505,0.37968251619041,-0.26789985988841,0.382046588729171,-0.133456961856261,-0.0224733287487747,-0.725974025974026,-0.731168831168831,-0.138961038961039,0.203896103896104,-0.692528591884836,-0.645454545454546,-0.509090909090909,0.566233766233766,0.475324675324675,0.737662337662338
"DP",-0.674244920263363,0.626791225084986,-0.744397570926604,0.83663531531716,0.782326185834958,0.139655739746265,0.921078320745134,1,0.953556399755894,0.744639376218324,-0.735303708803591,0.207940398905588,0.283254395908581,0.840480831708902,0.291003587936403,NA,0.00378940826762192,-0.00720120467219321,0.900941911758463,0.823644083712856,-0.0961663417803769,-0.559454191033138,-0.371549223883087,0.240398705628168,-0.165132732362286,0.543800258063554,-0.107959078686321,-0.643200706472437,0.276222436220327,-0.321584259295147,0.42713194795077,-0.191906700156674,-0.0337209432592713,-0.789217319961451,-0.839233561638021,0.0246833400481771,0.26177331682672,-0.804315595241158,-0.743098447766173,-0.463786968273643,0.468983460915365,0.422215027139871,0.774926965196717
"BULB",-0.584415584415584,0.584946329719466,-0.624675324675325,0.906493506493506,0.8554726011434,0.0376623376623377,0.968831168831169,0.953556399755894,1,0.641766841252604,-0.64025974025974,0.190631462672596,0.269849823946578,0.808704167367907,0.331168831168831,NA,0.0397758662749241,0.106543220337952,0.879220779220779,0.815584415584416,-0.151997409770354,-0.613835693303351,-0.448051948051948,0.300400801781936,-0.107368526264916,0.478937681184333,-0.121292253596583,-0.537366898055322,0.257897558167071,-0.321479831866092,0.404519917477945,-0.166821202320326,-0.112366643743874,-0.711688311688312,-0.724675324675325,0.0025974025974026,0.197402597402597,-0.691192953327681,-0.637662337662338,-0.496103896103896,0.493506493506494,0.435064935064935,0.706493506493507
"BARO",-0.803507674726186,0.727484530213762,-0.895095857536527,0.552127343182908,0.489928525016244,0.316336489564796,0.652159826536047,0.744639376218324,0.641766841252604,1,-0.976291055063425,0.0907908783953975,0.317446476736174,0.578947368421053,0.230594360976391,NA,-0.301257957275943,-0.215316019698577,0.719714230878426,0.607989639081414,0.227420402858999,-0.152046783625731,-0.0259824632086075,0.110182740079577,-0.196011210771494,0.496740620346516,0.0838232121522193,-0.81423662328595,0.0765474911695483,-0.294785571020551,0.292248174913685,0.216938008872762,0.0786822009382998,-0.908087089140831,-0.810652852108553,0.0181877242460252,0.391036071289542,-0.940594981810258,-0.88924980331459,-0.6287756096483,0.6800909744853,0.654108511276693,0.891848049635451
"ALT",0.820779220779221,-0.724625217869967,0.918181818181818,-0.545454545454545,-0.477427761458162,-0.331168831168831,-0.642857142857143,-0.735303708803591,-0.64025974025974,-0.976291055063425,1,-0.126220149346361,-0.266971425824481,-0.576810683231085,-0.258441558441558,NA,0.282219241664938,0.170613129865504,-0.715584415584416,-0.607792207792208,-0.212406636730366,0.0987333601927083,-0.0012987012987013,-0.14018704083157,0.199973880168407,-0.488738588711979,-0.0645587801401165,0.824534712126656,-0.090524647942482,0.26789985988841,-0.269679944985297,-0.200185442784392,-0.0449466574975495,0.931168831168831,0.832467532467532,0.0155844155844156,-0.357142857142857,0.942960821351387,0.911688311688312,0.601298701298701,-0.633766233766234,-0.593506493506494,-0.861038961038961
"SPD",-0.0292778696937435,0.133052755791665,-0.297333032223128,0.243331628121335,0.24015651704589,-0.051398926795683,0.20624632650926,0.207940398905588,0.190631462672596,0.0907908783953975,-0.126220149346361,1,0.285157658384165,0.527172842295857,0.0487964494895725,NA,-0.130947473478892,-0.0609492679343334,0.456084147895871,0.525700415834327,-0.341035270818554,-0.268142235834436,-0.156148638366632,0.0702304665321782,0.0968204690127596,0.32635320027218,0.0767724973805138,-0.0363795125364146,0.398695133885822,-0.281844436317008,0.439086107921318,0.158789774819016,0.292724071947546,-0.271308259162023,-0.190631462672596,-0.0377359209386027,0.188679604693014,-0.257278193024789,-0.23096986091731,0.124268291366778,-0.0702668872649844,-0.135979439244275,0.0253741537345777
"TC",-0.153994299532181,0.36771663308767,-0.415208929112468,0.35908016573158,0.382231471988454,-0.213001461035166,0.292877008923353,0.283254395908581,0.269849823946578,0.317446476736174,-0.266971425824481,0.285157658384165,1,0.415343802895175,0.170545088734237,NA,-0.0136434844725365,-0.0793777486363075,0.437516514558719,0.532503652587914,0.135328656749208,-0.0799014941444791,0.0316623793430652,0,0.289651687862501,0.604606901404225,0.259072235877709,-0.216545821833522,0.251877319794128,-0.534387860353673,0.460734491314464,0.175625043328552,0.336211655824068,-0.300792603759119,-0.406573734746178,0.0295035807514925,0.686497952120095,-0.377433739857135,-0.364836961975774,-0.0913891403765745,0.239626643664561,0.184937079344722,0.218038657748835
"TS",-0.531990934196238,0.449019982805519,-0.651510264955832,0.755440117790262,0.716699155295646,-0.0045469310615063,0.805456359466831,0.840480831708902,0.808704167367907,0.578947368421053,-0.576810683231085,0.527172842295857,0.415343802895175,1,0.344917199094264,NA,-0.00757881653524384,-0.0446474689675979,0.954855522916324,0.963299823459121,-0.291098115659519,-0.668615984405458,-0.341669391193188,0.260431931097182,-0.0513522521370525,0.643475185172559,-0.133725747013268,-0.504522936083103,0.513356791843439,-0.375181635844338,0.472093205629799,-0.0500626174321759,0.359690061432228,-0.668398866041427,-0.67879185132487,0.0798960743664679,0.444300120867188,-0.701438019105661,-0.654108511276693,-0.317635612725226,0.428061081361808,0.29684964215834,0.546281288960972
"LHC",-0.333766233766234,-0.0255750076895282,-0.325974025974026,0.114285714285714,0.0545631727380757,0.0428571428571429,0.207792207792208,0.291003587936403,0.331168831168831,0.230594360976391,-0.258441558441558,0.0487964494895725,0.170545088734237,0.344917199094264,1,NA,0.36366506308502,0.502480863485745,0.309090909090909,0.258441558441558,0.100032483353139,-0.0695030890830249,0.218181818181818,0.0400534402375914,-0.0751579683854414,-0.0679529588583501,-0.18128627150457,-0.235675654306818,-0.0605668507816606,-0.241109873899569,0.0898933149950989,-0.116774841624228,0,-0.180519480519481,-0.17012987012987,0.485714285714286,0.457142857142857,-0.311203783817101,-0.331168831168831,-0.111688311688312,0.0415584415584416,0.025974025974026,0.025974025974026
"LONG_COLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LONG_TOTAL",0.268960619573296,-0.41508015741834,0.303054219237517,-0.121221687695007,-0.168628667909175,0.140162576397352,-0.140162576397352,0.00378940826762192,0.0397758662749241,-0.301257957275943,0.282219241664938,-0.130947473478892,-0.0136434844725365,-0.00757881653524384,0.36366506308502,NA,1,0.343323027885805,-0.0587167549772689,-0.0416699551451586,0.0881037422222096,0.0881037422222096,0.202667509115089,-0.262871446652282,0,0.0457411782305948,-0.428931301474889,0.292692211657489,-0.205161975725658,0,0,-0.24330012062823,-0.327761910323346,0.321995107939862,0.147738931878289,0.54549759462753,0.113645332214069,0.18408221592116,0.23676110877931,0.18183253154251,-0.429958173543227,-0.293583774886344,-0.286007419405406
"PESO",0.0561511566645962,-0.264992464061562,0.175652336232839,0.0035994331195254,-0.0122420479427285,-0.072708549014413,0.0331147846996337,-0.00720120467219321,0.106543220337952,-0.215316019698577,0.170613129865504,-0.0609492679343334,-0.0793777486363075,-0.0446474689675979,0.502480863485745,NA,0.343323027885805,1,-0.0554312700406911,-0.118781292944338,-0.156626201620202,-0.0777730104596867,-0.102943787218426,0.333031959280292,-0.213884682476589,-0.354940811181765,-0.334361821948089,0.0958743926892221,0.0927769298415555,0.0742501473866889,-0.31143128864664,-0.0184942222286616,-0.348803043284237,0.241881905632107,0.167013696745978,0.519038255835562,-0.0799074152534638,0.169912944830661,0.210206894180283,0.0561511566645962,-0.265638164220974,-0.145417098028826,-0.274276803707835
"TEMP_ASF",-0.658441558441558,0.601340565417882,-0.764935064935065,0.833766233766234,0.78531995048016,0.025974025974026,0.888311688311688,0.900941911758463,0.879220779220779,0.719714230878426,-0.715584415584416,0.456084147895871,0.437516514558719,0.954855522916324,0.309090909090909,NA,-0.0587167549772689,-0.0554312700406911,1,0.967532467532468,-0.226047429914885,-0.600194900118832,-0.385714285714286,0.260347361544344,-0.0926053539034903,0.7017449789795,-0.119988035815974,-0.639691061689935,0.431783032991839,-0.348269817854933,0.449466574975495,0,0.202259958738973,-0.792207792207792,-0.787012987012987,-0.0116883116883117,0.449350649350649,-0.826760266878907,-0.777922077922078,-0.418181818181818,0.54025974025974,0.398701298701299,0.71038961038961
"TEMP_SUELO",-0.516883116883117,0.536419392052156,-0.683116883116883,0.812987012987013,0.772978280456072,-0.0350649350649351,0.831168831168831,0.823644083712856,0.815584415584416,0.607989639081414,-0.607792207792208,0.525700415834327,0.532503652587914,0.963299823459121,0.258441558441558,NA,-0.0416699551451586,-0.118781292944338,0.967532467532468,1,-0.251380331543277,-0.612536570142921,-0.35974025974026,0.260347361544344,0.0261710782770733,0.757283454969498,-0.0606461267982913,-0.503038791545646,0.494303653153553,-0.428639775821456,0.516886561221819,0,0.314626602482846,-0.71038961038961,-0.702597402597403,-0.012987012987013,0.487012987012987,-0.728590832928019,-0.677922077922078,-0.388311688311688,0.509090909090909,0.371428571428571,0.587012987012987
"CARROS_TUX",0.0643065964413034,-0.0327991221917837,-0.0604092269600123,-0.308541750602214,-0.366471734892788,0.227346553075315,-0.219551814112733,-0.0961663417803769,-0.151997409770354,0.227420402858999,-0.212406636730366,-0.341035270818554,0.135328656749208,-0.291098115659519,0.100032483353139,NA,0.0881037422222096,-0.156626201620202,-0.226047429914885,-0.251380331543277,1,0.700779727095517,0.787268635220806,-0.350581445707745,0.209436636166802,0.102289351426618,0.356819432274428,0.0270751837426796,-0.378177179778066,-0.455577700668125,0.325969118172956,0.00834376957202931,0,-0.0214355321471011,0.0519649264172149,0.10392985283443,-0.0311789558503289,-0.0387461001029794,-0.0428710642942023,-0.203312774607353,-0.0876908133290502,0.219551814112733,0.101981168093784
"CARROS_OAX",0.287106218455112,-0.293880134838382,0.161091271893366,-0.705423876113692,-0.727420402858999,0.272815863690378,-0.66255281181949,-0.559454191033138,-0.613835693303351,-0.152046783625731,0.0987333601927083,-0.268142235834436,-0.0799014941444791,-0.668615984405458,-0.0695030890830249,NA,0.0881037422222096,-0.0777730104596867,-0.600194900118832,-0.612536570142921,0.700779727095517,1,0.798311182084464,-0.230382092893661,-0.0288646645999119,-0.212748778845777,0.124267096614769,0.254902949382301,-0.377851445773089,0.0267986882745956,-0.1573644018766,0.250313087160879,-0.0899225153580569,0.257875947345429,0.29684964215834,-0.0168886010855948,-0.133809685524328,0.255523849817062,0.202663213027138,0.233842168877467,-0.383890893907175,-0.24293603100048,-0.300097450059416
"TOTAL_CARROS",0.253246753246753,-0.375100112779748,0.0857142857142857,-0.649350649350649,-0.69892826031154,0.380519480519481,-0.542857142857143,-0.371549223883087,-0.448051948051948,-0.0259824632086075,-0.0012987012987013,-0.156148638366632,0.0316623793430652,-0.341669391193188,0.218181818181818,NA,0.202667509115089,-0.102943787218426,-0.385714285714286,-0.35974025974026,0.787268635220806,0.798311182084464,1,-0.340454242019527,0.136223817698613,-0.0672995650231736,0.219760696032518,0.238976433778903,-0.33735084628925,-0.241109873899569,0.0898933149950989,0.133456961856261,0.202259958738973,0.176623376623377,0.274025974025974,0.24025974025974,-0.0181818181818182,0.143581144894156,0.123376623376623,0.0363636363636364,-0.264935064935065,-0.0324675324675325,-0.241558441558442
"AÑO",-0.0801068804751829,0.121348095752725,-0.14018704083157,0.320427521900732,0.30049838203521,0,0.380507682257119,0.240398705628168,0.300400801781936,0.110182740079577,-0.14018704083157,0.0702304665321782,0,0.260431931097182,0.0400534402375914,NA,-0.262871446652282,0.333031959280292,0.260347361544344,0.260347361544344,-0.350581445707745,-0.230382092893661,-0.340454242019527,1,-0.455313198259641,-0.0201514166152148,-0.311732705304117,-0.0407199325833598,0.672864166568797,0.157377895072927,-0.198029508595335,0.342997170285018,0.198029508595335,-0.180240481069161,-0.200267201187957,0.0600801603563872,0,-0.0926834123893089,-0.0200267201187957,-0.0801068804751829,0.180240481069161,0.0200267201187957,0
