"","CONTEO"
"CONTEO",1
"ALTITUD",-0.873459856149288
"ALTITUD_MEAN",-0.8715028885851
"DIST_URBANIZACION_MEAN",-0.870198243542308
"TRANSECTO",-0.859146086752143
"SUBTRANSECTO",-0.840843730079487
"ALT",-0.821926376959002
"DIST_AGRICOLA_MEAN",-0.816120259468787
"BARO",0.813446184180853
"LST_TEMPERATURA_MEAN",0.762565027511963
"DIST_ELECTRICOS_MEAN",-0.729296578920765
"DIA",0.697416699941819
"DP",0.611878525069479
"BULB",0.611226202548083
"SEMANA",0.606048396762136
"DEG",0.60013671968435
"CHIL",0.58382865664945
"DIST_RIOS_MEAN",0.574043818828509
"HI",0.568357477750732
"NDMI_HUMEDAD_MEAN",0.560997368400588
"DIAYEAR",0.559083739288969
"TEMP_SUELO",0.550560208058252
"TEMP_ASF",0.532295177459163
"PESO",-0.473564469718841
"TS",0.46706292531956
"NDVI_VEGETACION_MEAN",0.454668797413035
"LONG_TOTAL",-0.430439917948004
"NDWI_AGUA_MEAN",-0.409006220915313
"CAÑADA",0.375979861520685
"LONG_COLA",-0.366429125901108
"VIVO",-0.293490366640725
"MUERTO",0.293490366640725
"SPD",0.26810455629377
"DIST_PENDIENTE_MEAN",-0.231574495095592
"TOTAL_CARROS",0.213309464496503
"LHC",-0.174822435734137
"AÑO",-0.148019273935192
"CARROS_TUX",0.140901664621543
"ESCURRIMIENTOS",0.13456297630472
"RH_C",-0.0437056089335342
"CARROS_OAX",0.0404439963265541
"TC",0.0312322764879897
"RECORRIDO",-0.00817796317943033
