"","CONTEO"
"CONTEO",1
"ALT",-0.576616035422891
"SPD",0.524483478042574
"TOTAL_CARROS",0.524286415368277
"RECORRIDO",-0.51062004432794
"BARO",0.499207307379818
"TEMP_ASF",0.476121548896191
"SUBTRANSECTO",-0.472963196996382
"HI",0.47217360902143
"CHIL",0.447243193414305
"DEG",0.433646854037216
"TRANSECTO",-0.430799894336968
"ALTITUD",-0.418481626724679
"ALTITUD_MEAN",-0.399531515325826
"DIST_RIOS_MEAN",0.399531515325826
"TEMP_SUELO",0.396917202465757
"CAÑADA",0.38748180139305
"PESO",-0.368628443477888
"DIST_URBANIZACION_MEAN",-0.34426035707917
"BULB",0.339522829229457
"DIST_AGRICOLA_MEAN",-0.324676157128553
"SEMANA",0.303777148024289
"LHC",-0.294232155061681
"LST_TEMPERATURA_MEAN",0.268459911483756
"CARROS_OAX",0.265896350854971
"DP",0.262932795659091
"LONG_COLA",-0.262636755860427
"AÑO",0.255018245614313
"LONG_TOTAL",-0.254737906060113
"DIAYEAR",0.239166858572455
"MUERTO",0.231322775888054
"DIA",0.221885643609776
"DIST_PENDIENTE_MEAN",0.216347105136909
"DIST_ELECTRICOS_MEAN",-0.209240813362339
"NDMI_HUMEDAD_MEAN",0.205292873487578
"TS",0.203000439868059
"CARROS_TUX",0.178581204437514
"RH_C",-0.175288530439394
"TC",-0.168932035824845
"NDWI_AGUA_MEAN",-0.15633841904054
"NDVI_VEGETACION_MEAN",0.154759243090636
"ESCURRIMIENTOS",0.114758210526441
"VIVO",0.0765054736842939
