,SUBTRANSECTO,CONTEO,N_INVESTIGATOR,ALTITUD,DEG,CHIL,RH_C,HI,DP,BULB,BARO,ALT,SPD,TC,TS,LHC,LONG_COLA,LONG_TOTAL,PESO,TEMP_ASF,TEMP_SUELO,CARROS_TUX,CARROS_OAX,TOTAL_CARROS,AÑO,SEMANA,DIA,DIAYEAR,TRANSECTO,RECORRIDO,VIVO,MUERTO,CAÑADA,ESCURRIMIENTOS,MES,TURNO,DIAWEEK,CLASE,GENERO,ESPECIE,DIRECCION,UBICACION_T,CONDICION,TEMPORADA,ALTITUD_MEAN,DIST_ELECTRICOS_MEAN,DIST_PENDIENTE_MEAN,DIST_RIOS_MEAN,DIST_AGRICOLA_MEAN,DIST_URBANIZACION_MEAN,NDWI_AGUA_MEAN,NDMI_HUMEDAD_MEAN,NDVI_VEGETACION_MEAN,LST_TEMPERATURA_MEAN
1,1,14,2,1611.420646,17.2,17,92.42857143,17.35,15.83571429,16.10714286,25.03071429,1495.714286,0.335714286,15.2,16.45454545,7.069,3.725,13.33,5.633333333,16.64285714,15.93076923,14.78571429,21.5,37.71428571,2021,21,17,302,1,9,0,1,0,0,octubre,noche,miércoles,Amphibia,Charadrahyla,Geophis duellmani,De arriba hacia abajo,Arriba,MUERTO,SEQUIA,1627.333333,89.45515082,26.90786415,542.0519765,0,250.3398166,-0.377072586,0.232355433,0.371817337,15.45008444
2,2,15,2,1626.455713,17.82,17.61333333,91.62666667,17.79333333,16.29333333,16.65333333,24.82466667,1527.066667,0.58,17.2327381,18.25,5.195555556,5.611751323,26.38442905,8.922604167,18.29333333,17.39333333,13.66666667,22.06666667,35.73333333,2021,43,25,298,1,50,0,1,0,0,octubre,noche,lunes,Amphibia,Incilius,Incilius espiculatus,De arriba hacia abajo,Arriba,MUERTO,LLUVIAS,1638.833333,45,16.8393515,719.068495,0,69.54688136,-0.310557718,0.198583814,0.29461878,14.73825258
3,3,36,2,1641.626627,16.9375,16.834375,92.22352941,17.14375,15.553125,15.90294118,24.8534375,1540.3125,0.538235294,16.83333333,18.09032258,5.446818182,4.795,10.76181818,4,18.0375,16.76129032,14.60606061,18.15151515,33.67647059,2021,43,22,234,1,60,0,1,1,1,octubre,noche,viernes,Amphibia,Charadrahyla,Ptychohyla zophodes,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1642.666667,58.81878026,22.18630754,1006.892324,0,124.3128145,-0.268973807,0.2182412,0.294907825,14.7704104
4,4,15,2,1655.915063,16.98181818,16.99090909,89.92857143,16.72727273,15.3,15.64285714,24.84545455,1541.909091,0.228571429,20.8,17.15,4.548,1.14,9.13,2.4,17.05714286,16.26428571,13,16.92857143,31.42857143,2020,43,27,301,1,8,0,1,0,0,octubre,noche,martes,Amphibia,Ptychohyla,Ptychohyla zophodes,De arriba hacia abajo,Arriba,MUERTO,TRANSICIÓN DE LLUVIAS A SECAS,1662.333333,83.17685572,25.979734,1271.523058,0,137.8136838,-0.33993762,0.259279658,0.360232519,14.90186063
5,5,14,2,1654.832807,17.625,17.5,90.80714286,18.01428571,16.38571429,16.7,24.8225,1549.833333,0.514285714,20.6,18.59166667,17.33111111,5.322857143,25.41857143,6.6,18.625,16.80833333,16.41666667,14.91666667,35.85714286,2021,43,24,141,2,3,0,1,1,0,octubre,mañana,viernes,Reptilia,Geophis,Geophis duellmani,De arriba hacia abajo,Abajo,MUERTO,LLUVIAS,1658.388889,214.1821158,35.102474,1018.680861,0,440.4074707,-0.345924035,0.23297559,0.339507588,14.36888663
6,6,10,2,1654.947754,17.86666667,17.81111111,93.72,18.21,16.78,17.872,24.81777778,1551,0.77,18.53333333,18.38888889,16.30666667,11.32666667,38.35,12.15,18.38888889,17.7,11,13.33333333,28.2,2021,34,22,298,2,60,0,1,0,0,agosto,mañana,lunes,Amphibia,Charadrahyla,Charadrahyla nephila,De arriba hacia abajo,Abajo,MUERTO,LLUVIAS,1655.611111,54.3636127,28.9709283,862.6122538,0,647.2620748,-0.352666961,0.219136562,0.359916604,14.85979217
7,7,7,2,1658.490688,17.81428571,17.61428571,95.67142857,18.37142857,17.2,17.31428571,24.87571429,1531,0.2,20.3,18.38333333,9.866666667,5.78,23,8.922604167,18.44285714,17.34285714,17.14285714,15.71428571,32.85714286,2021,21,25,145,2,43,0,1,0,0,mayo,noche,martes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Arriba,MUERTO,TRANSICION DE SECAS A LLUVIA,1674.055556,36.98914295,33.57069291,660.9776713,0,856.4611172,-0.389294991,0.238388929,0.40718282,15.35917163
8,8,9,2,1745.394464,17.32222222,17.22222222,92.47777778,17.53333333,15.87777778,16.17777778,24.87,1540.333333,0.588888889,17,18.075,10.91428571,6.645,36.685,8.922604167,18,17.18888889,12.55555556,11.44444444,24,2021,21,22,146,2,45,0,1,1,0,mayo,noche,miércoles,Amphibia,Craugastor,Craugastor sp.,De abajo hacia arriba,Abajo,MUERTO,TRANSICION DE SECAS A LLUVIA,1640.888889,141.978241,36.38008902,542.0770196,0,1075.27872,-0.381996436,0.230385977,0.411310701,15.76956566
9,9,6,2,1732.969238,18.05,17.9,92.63333333,18.45,16.96666667,17.2,24.575,1631.333333,0.516666667,22,18.92,10.4475,3.03,14.88333333,3.4,18.91666667,17.8,14.5,16.5,32.66666667,2021,43,26,299,3,68,0,1,0,0,octubre,noche,martes,Reptilia,Chryophis,Chryophis hallbergi,De arriba hacia abajo,Arriba,MUERTO,LLUVIAS,1777.611111,202.359094,37.72025575,805.5832113,450.832645,1998.35966,-0.28111962,0.183535017,0.279826222,13.37657821
10,10,7,2,1785.398943,16.35714286,16.21428571,94.52857143,16.57142857,15.42857143,15.62857143,24.61714286,1617.428571,0.257142857,17.2327381,17.38571429,13.2725,4.43,19.35,3.65,17.38571429,15.78571429,15.57142857,20.42857143,36,2021,11,21,71,3,25,0,1,0,0,marzo,noche,viernes,Amphibia,Geophis,Geophis duellmani,De abajo hacia arriba,Abajo,MUERTO,LLUVIAS,1785.555556,434.6395298,41.50643963,842.442966,425.2960137,2234.398994,-0.292403619,0.176857358,0.287731744,12.99205977
