"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-43.3959190177438,67.3607773764267,-0.644231267926704,0.519425477821264
"2","SUBTRANSECTO",-0.266348414889708,0.123500099207757,-2.15666559458908,0.0310317295859798
"3","N_INVESTIGATOR",NA,NA,NA,NA
"4","ALTITUD",0.0207165127889896,0.0119950099448381,1.72709425705017,0.0841507368449153
"5","DEG",-2.48908459323454,4.22721676647348,-0.588823505095775,0.555979676379709
"6","CHIL",4.18108495640306,3.53397650337663,1.18311057031877,0.23676532916407
"7","RH_C",-0.0838086441605126,0.0424817912527334,-1.97281333223255,0.0485168336367416
"8","HI",-2.86011005251991,1.35789704810464,-2.10627901173514,0.0351801233385667
"9","DP",5.87813983298647,2.76262609140211,2.1277363054235,0.0333589529876138
"10","BULB",-4.36011893647339,1.57658245002726,-2.76555085108172,0.00568267443299656
"11","BARO",1.55515959963185,2.44650895489537,0.635664789421693,0.524994930800866
"12","ALT",-0.00693712275765059,0.00620751977130065,-1.11753534635896,0.263765495258826
"13","SPD",6.58704182642741,4.12236468118501,1.59787945411319,0.110069807435446
"14","TC",0.412995563395387,0.227792179704353,1.81303661930539,0.0698261735178521
"15","TS",-0.932765115370619,0.701740929420349,-1.3292157778813,0.183776791127963
"16","LHC",-0.0561261107561922,0.0683782740950239,-0.820817891340675,0.411750006002546
"17","LONG_COLA",0.695636605625902,0.276396316245454,2.51680852724586,0.0118423166226656
"18","LONG_TOTAL",-0.167830723636083,0.0690101512060276,-2.43197153901359,0.015016887256724
"19","PESO",0.227183379902028,0.147971251134866,1.53532107189501,0.124704980602859
"20","TEMP_ASF",0.928403995147246,0.722058798933568,1.28577339756601,0.198522156977762
"21","TEMP_SUELO",-1.23730331088697,0.982525044273714,-1.25930969200036,0.20791849386673
"22","CARROS_TUX",0.0336254444490654,0.0906416910794331,0.370971062527926,0.710659085052156
"23","CARROS_OAX",NA,NA,NA,NA
"24","TOTAL_CARROS",NA,NA,NA,NA
"25","AÑO",NA,NA,NA,NA
"26","SEMANA",NA,NA,NA,NA
"27","DIA",NA,NA,NA,NA
"28","DIAYEAR",NA,NA,NA,NA
"29","TRANSECTO",NA,NA,NA,NA
"30","RECORRIDO",NA,NA,NA,NA
"31","VIVO",NA,NA,NA,NA
"32","MUERTO",NA,NA,NA,NA
"33","CAÑADA",NA,NA,NA,NA
"34","ESCURRIMIENTOS",NA,NA,NA,NA
"35","MESmayo",NA,NA,NA,NA
"36","MESagosto",NA,NA,NA,NA
"37","MESoctubre",NA,NA,NA,NA
"38","MESdiciembre",NA,NA,NA,NA
"39","TURNOnoche",NA,NA,NA,NA
"40","DIAWEEKlunes",NA,NA,NA,NA
"41","DIAWEEKmartes",NA,NA,NA,NA
"42","DIAWEEKmiércoles",NA,NA,NA,NA
"43","DIAWEEKjueves",NA,NA,NA,NA
"44","DIAWEEKviernes",NA,NA,NA,NA
"45","DIAWEEKsábado",NA,NA,NA,NA
"46","CLASEReptilia",NA,NA,NA,NA
"47","GENEROChryophis",NA,NA,NA,NA
"48","GENEROCraugastor",NA,NA,NA,NA
"49","GENEROExerodonta",NA,NA,NA,NA
"50","GENEROGeophis",NA,NA,NA,NA
"51","GENEROIncilius",NA,NA,NA,NA
"52","GENEROPtychohyla",NA,NA,NA,NA
"53","ESPECIEChryophis hallbergi",NA,NA,NA,NA
"54","ESPECIECraugastor sp.",NA,NA,NA,NA
"55","ESPECIEExerodonta abdivita",NA,NA,NA,NA
"56","ESPECIEGeophis duellmani",NA,NA,NA,NA
"57","ESPECIEIncilius espiculatus",NA,NA,NA,NA
"58","ESPECIEPtychohyla zophodes",NA,NA,NA,NA
"59","DIRECCIONDe arriba hacia abajo",NA,NA,NA,NA
"60","DIRECCIONOrilla de carretera",NA,NA,NA,NA
"61","UBICACION_TArriba",NA,NA,NA,NA
"62","CONDICIONVIVO",NA,NA,NA,NA
"63","TEMPORADASEQUIA",NA,NA,NA,NA
"64","TEMPORADATRANSICIÓN DE LLUVIAS A SECAS",NA,NA,NA,NA
"65","TEMPORADATRANSICION DE SECAS A LLUVIA",NA,NA,NA,NA
"66","ALTITUD_MEAN",NA,NA,NA,NA
"67","DIST_ELECTRICOS_MEAN",NA,NA,NA,NA
"68","DIST_PENDIENTE_MEAN",NA,NA,NA,NA
"69","DIST_RIOS_MEAN",NA,NA,NA,NA
"70","DIST_AGRICOLA_MEAN",NA,NA,NA,NA
"71","DIST_URBANIZACION_MEAN",NA,NA,NA,NA
"72","NDWI_AGUA_MEAN",NA,NA,NA,NA
"73","NDMI_HUMEDAD_MEAN",NA,NA,NA,NA
"74","NDVI_VEGETACION_MEAN",NA,NA,NA,NA
"75","LST_TEMPERATURA_MEAN",NA,NA,NA,NA
