"","SUBTRANSECTO","CONTEO","ALTITUD","DEG","CHIL","RH_C","HI","DP","BULB","BARO","ALT","SPD","TC","TS","LHC","LONG_COLA","LONG_TOTAL","PESO","TEMP_ASF","TEMP_SUELO","CARROS_TUX","CARROS_OAX","TOTAL_CARROS","AÑO","SEMANA","DIA","DIAYEAR","TRANSECTO","RECORRIDO","VIVO","MUERTO","CAÑADA","ESCURRIMIENTOS","ALTITUD_MEAN","DIST_ELECTRICOS_MEAN","DIST_PENDIENTE_MEAN","DIST_RIOS_MEAN","DIST_AGRICOLA_MEAN","DIST_URBANIZACION_MEAN","NDWI_AGUA_MEAN","NDMI_HUMEDAD_MEAN","NDVI_VEGETACION_MEAN","LST_TEMPERATURA_MEAN"
"SUBTRANSECTO",1,-0.472963196996382,0.825563909774436,-0.652877067607149,-0.668924192373602,0.264661654135338,-0.676691729323308,-0.463157894736842,-0.61203007518797,-0.789770646298971,0.744640895081887,-0.39894643420084,-0.0287535338602816,-0.418954523798597,0.424971823960875,0.236931193889691,0.244452819092539,0.286612340929131,-0.443609022556391,-0.457314812333119,0.1775771759282,-0.126410870999736,-0.421052631578947,0.157845586728279,-0.591360202341302,-0.482405517072268,-0.441090130956575,0.983319527535726,0.531123392731152,-0.206413459567749,-0.110137758350787,-0.170297017336934,-0.0849937774690732,0.821052631578947,0.756390977443609,0.115789473684211,-0.440601503759398,0.834294613660886,0.902255639097744,0.336842105263158,-0.481203007518797,-0.347368421052632,-0.777443609022556
"CONTEO",-0.472963196996382,1,-0.418481626724679,0.433646854037216,0.447243193414305,-0.175288530439394,0.47217360902143,0.262932795659091,0.339522829229457,0.499207307379818,-0.576616035422891,0.524483478042574,-0.168932035824845,0.203000439868059,-0.294232155061681,-0.262636755860427,-0.254737906060113,-0.368628443477888,0.476121548896191,0.396917202465757,0.178581204437514,0.265896350854971,0.524286415368277,0.255018245614313,0.303777148024289,0.221885643609776,0.239166858572455,-0.430799894336968,-0.51062004432794,0.0765054736842939,0.231322775888054,0.38748180139305,0.114758210526441,-0.399531515325826,-0.209240813362339,0.216347105136909,0.399531515325826,-0.324676157128553,-0.34426035707917,-0.15633841904054,0.205292873487578,0.154759243090636,0.268459911483756
"ALTITUD",0.825563909774436,-0.418481626724679,1,-0.673185455654837,-0.694507344837834,0.0406015037593985,-0.66015037593985,-0.61203007518797,-0.729323308270677,-0.752914682805019,0.789018483778686,-0.447873827074528,-0.311626137242511,-0.600225691187218,0.564874052733836,0.333207996486137,0.360285847216388,0.337684220828737,-0.58796992481203,-0.562617565172981,0.240030165767356,-0.0474040766249009,-0.273684210526316,-0.0364259046296028,-0.538474330587202,-0.414247751708839,-0.454732093769665,0.784514646385423,0.250472963617532,-0.182129523148014,-0.150187852296528,-0.227062689782579,0.182129523148014,0.742857142857143,0.765413533834587,-0.0857142857142857,-0.44812030075188,0.797007703553137,0.798496240601504,0.511278195488722,-0.512781954887218,-0.43609022556391,-0.679699248120301
"DEG",-0.652877067607149,0.433646854037216,-0.673185455654837,1,0.995107334309919,-0.116585190644134,0.96276802596446,0.816096334508937,0.853704460523174,0.63431151241535,-0.587659894657637,0.456325430579291,0.260045268309855,0.640707298720843,-0.384499623777276,-0.234762979683973,-0.315274642588412,-0.216183943434762,0.656637880208573,0.81489841986456,-0.066240125128043,0.0387655277737979,0.0789770646298971,0.157904960658055,0.42484932403159,0.532588137092654,0.300615159768487,-0.66356964147984,-0.0486794671052327,-0.12146535435235,0.22035837377304,0.075716033287543,0.036439606305705,-0.582173790700384,-0.597217041106079,-0.059420839102494,0.287326082748769,-0.630618943379569,-0.690485193621386,-0.290334732829908,0.283565270147345,0.277547969985067,0.619029754194336
"CHIL",-0.668924192373602,0.447243193414305,-0.694507344837834,0.995107334309919,1,-0.0842739139998239,0.975169576283677,0.841986694337526,0.887133433980289,0.641324847830598,-0.615732072212945,0.436911518749865,0.280363553475457,0.639443026094006,-0.379375262096974,-0.219044050139324,-0.301091477854741,-0.226563671373572,0.653122833498635,0.826496106711264,-0.0432981927710843,0.0832078313253012,0.132430436285438,0.15796440163914,0.471519698733865,0.55552497855745,0.350786504093791,-0.67300194907681,-0.067572904857515,-0.121511078183954,0.220441324415456,0.0662764685323871,-0.0121511078183954,-0.597441854605894,-0.612490767820149,-0.0744921204105586,0.309255166552925,-0.644849446919065,-0.707298921069951,-0.279909785785129,0.287434242392257,0.26335598124945,0.614748104802287
"RH_C",0.264661654135338,-0.175288530439394,0.0406015037593985,-0.116585190644134,-0.0842739139998239,1,-0.0766917293233083,0.359398496240601,0.180451127819549,0.0293343382911046,-0.130124116009259,0.0150545824226732,0.233913883566074,0.260248232018518,0.0022564875608542,0.0864986898327445,0.0518992138996467,-0.311004880582674,0.186466165413534,0.286573920228484,-0.111361957785482,0.164785599696084,-0.171428571428571,0.473536760184836,-0.0472767641438168,-0.113596275605715,0.0545678512523598,0.31197073657432,0.412676840659006,-0.279265268826955,0.130162805323657,-0.0378437816304298,-0.279265268826955,0.037593984962406,-0.105263157894737,0.22406015037594,-0.0210526315789474,0.00155362125448955,0.108270676691729,0.204511278195489,-0.312781954887218,-0.26015037593985,-0.245112781954887
"HI",-0.676691729323308,0.47217360902143,-0.66015037593985,0.96276802596446,0.975169576283677,-0.0766917293233083,1,0.819548872180451,0.896240601503759,0.618277591674052,-0.592704065984371,0.399699163321974,0.229251148345488,0.554343777449849,-0.29860852055304,-0.131628441049829,-0.221887943483997,-0.185993114858266,0.598496240601504,0.80857470930609,-0.103085055517642,0.130925544964012,0.189473684210526,0.133561650308544,0.480780652310001,0.517999016762059,0.328164994337108,-0.68052440086065,-0.0995856361370911,-0.133561650308544,0.27033813413375,0.0378437816304298,-0.0849937774690732,-0.565413533834586,-0.595488721804511,-0.12781954887218,0.254135338345865,-0.608242721132657,-0.678195488721804,-0.225563909774436,0.243609022556391,0.206015037593985,0.595488721804511
"DP",-0.463157894736842,0.262932795659091,-0.61203007518797,0.816096334508937,0.841986694337526,0.359398496240601,0.819548872180451,1,0.914285714285714,0.554343777449849,-0.573900002977252,0.370342727597761,0.39322400360277,0.689733031101102,-0.323429883722436,-0.180519004868336,-0.260248232018518,-0.352167291248028,0.598496240601504,0.855208785563743,-0.142964675535416,0.150489132142543,-0.0451127819548872,0.35211707808616,0.433503888166185,0.434695081317868,0.319828239284664,-0.445781714271639,0.0905323964882646,-0.35211707808616,0.370463368998102,0.132453235706504,-0.230697395987484,-0.560902255639098,-0.640601503759399,-0.0721804511278195,0.384962406015038,-0.622225312423063,-0.640601503759399,-0.142857142857143,0.16390977443609,0.0917293233082707,0.451127819548872
"BULB",-0.61203007518797,0.339522829229457,-0.729323308270677,0.853704460523174,0.887133433980289,0.180451127819549,0.896240601503759,0.914285714285714,1,0.560361077612127,-0.569387027855544,0.470455700708538,0.443736968492453,0.664911667931705,-0.287326082748769,-0.0466340762576535,-0.154945479178655,-0.235540461029525,0.666165413533835,0.879277986212855,-0.176072284606775,0.133935327606863,0.16390977443609,0.206413459567749,0.526454814279452,0.47786166604804,0.386522279704215,-0.579592691968958,-0.0286685922212838,-0.0364259046296028,0.150187852296528,-0.0189218908152149,-0.25498133240722,-0.557894736842105,-0.642105263157895,-0.075187969924812,0.374436090225564,-0.629216608068266,-0.670676691729323,-0.240601503759398,0.239097744360902,0.169924812030075,0.499248120300752
"BARO",-0.789770646298971,0.499207307379818,-0.752914682805019,0.63431151241535,0.641324847830598,0.0293343382911046,0.618277591674052,0.554343777449849,0.560361077612127,1,-0.933784800601956,0.289156708485887,0.0532529174266819,0.530097817908202,-0.334838224228743,-0.171557562076749,-0.167795334838224,-0.435799378035155,0.558856752571558,0.510158013544018,0.0210764034498319,0.325555160430439,0.315156095999304,0.303663385880875,0.363125931672284,0.172731287705726,0.21721625037496,-0.774483299133531,-0.369435645705603,-0.0728792126114101,0.340553850376516,0.454296199725258,0.230784173269465,-0.929672875071932,-0.8228657971915,0.104550590319578,0.302369333154463,-0.908821755123112,-0.855960948084028,-0.446784537049132,0.437006424285431,0.424971823960875,0.790522808819256
